{7190} -> {12305} | confidence=0.9714, support=102
{7190} -> {24746} | confidence=0.9333, support=98
{24746} -> {7190} | confidence=0.9423, support=98
{7686} -> {39749} | confidence=0.9259, support=100
{7190} -> {51657} | confidence=0.9619, support=101
{51657} -> {7190} | confidence=0.9439, support=101
{61432} -> {7686} | confidence=0.9118, support=93
{7686} -> {74994} | confidence=0.9074, support=98
{74994} -> {7686} | confidence=0.9159, support=98
{7190} -> {88631} | confidence=0.9333, support=98
{88631} -> {7190} | confidence=0.9608, support=98
{7190} -> {92490} | confidence=0.9524, support=100
{92490} -> {7190} | confidence=0.9434, support=100
{7190} -> {95398} | confidence=0.9714, support=102
{95398} -> {7190} | confidence=0.9358, support=102
{24746} -> {12305} | confidence=0.9712, support=101
{14148} -> {44776} | confidence=0.9462, support=88
{44776} -> {14148} | confidence=0.9167, support=88
{51657} -> {12305} | confidence=0.9720, support=104
{14148} -> {54782} | confidence=0.9355, support=87
{54782} -> {14148} | confidence=0.9255, support=87
{88631} -> {12305} | confidence=0.9706, support=99
{92490} -> {12305} | confidence=0.9811, support=104
{95398} -> {12305} | confidence=0.9725, support=106
{25161} -> {39749} | confidence=0.9300, support=93
{24746} -> {51657} | confidence=0.9712, support=101
{51657} -> {24746} | confidence=0.9439, support=101
{24037} -> {82125} | confidence=0.9670, support=88
{24746} -> {88631} | confidence=0.9327, support=97
{88631} -> {24746} | confidence=0.9510, support=97
{24037} -> {98490} | confidence=0.9780, support=89
{24746} -> {92490} | confidence=0.9519, support=99
{92490} -> {24746} | confidence=0.9340, support=99
{24746} -> {95398} | confidence=0.9808, support=102
{95398} -> {24746} | confidence=0.9358, support=102
{61432} -> {39749} | confidence=0.9510, support=97
{39749} -> {64408} | confidence=0.9211, support=105
{74994} -> {39749} | confidence=0.9159, support=98
{45122} -> {40313} | confidence=0.9140, support=85
{55776} -> {40313} | confidence=0.9000, support=117
{44776} -> {54782} | confidence=0.9375, support=90
{54782} -> {44776} | confidence=0.9574, support=90
{45122} -> {55020} | confidence=0.9032, support=84
{55020} -> {45122} | confidence=0.9032, support=84
{51657} -> {88631} | confidence=0.9159, support=98
{88631} -> {51657} | confidence=0.9608, support=98
{51657} -> {92490} | confidence=0.9626, support=103
{92490} -> {51657} | confidence=0.9717, support=103
{51657} -> {95398} | confidence=0.9813, support=105
{95398} -> {51657} | confidence=0.9633, support=105
{61432} -> {64408} | confidence=0.9216, support=94
{98490} -> {82125} | confidence=0.9515, support=98
{88631} -> {92490} | confidence=0.9510, support=97
{92490} -> {88631} | confidence=0.9151, support=97
{88631} -> {95398} | confidence=0.9706, support=99
{95398} -> {88631} | confidence=0.9083, support=99
{92490} -> {95398} | confidence=0.9717, support=103
{95398} -> {92490} | confidence=0.9450, support=103
{7190} -> {12305, 24746} | confidence=0.9048, support=95
{24746} -> {7190, 12305} | confidence=0.9135, support=95
{7190, 12305} -> {24746} | confidence=0.9314, support=95
{7190, 24746} -> {12305} | confidence=0.9694, support=95
{12305, 24746} -> {7190} | confidence=0.9406, support=95
{7190} -> {12305, 51657} | confidence=0.9333, support=98
{51657} -> {7190, 12305} | confidence=0.9159, support=98
{7190, 12305} -> {51657} | confidence=0.9608, support=98
{7190, 51657} -> {12305} | confidence=0.9703, support=98
{12305, 51657} -> {7190} | confidence=0.9423, support=98
{7190} -> {12305, 88631} | confidence=0.9048, support=95
{88631} -> {7190, 12305} | confidence=0.9314, support=95
{7190, 12305} -> {88631} | confidence=0.9314, support=95
{7190, 88631} -> {12305} | confidence=0.9694, support=95
{12305, 88631} -> {7190} | confidence=0.9596, support=95
{7190} -> {12305, 92490} | confidence=0.9333, support=98
{92490} -> {7190, 12305} | confidence=0.9245, support=98
{7190, 12305} -> {92490} | confidence=0.9608, support=98
{7190, 92490} -> {12305} | confidence=0.9800, support=98
{12305, 92490} -> {7190} | confidence=0.9423, support=98
{7190} -> {12305, 95398} | confidence=0.9429, support=99
{95398} -> {7190, 12305} | confidence=0.9083, support=99
{7190, 12305} -> {95398} | confidence=0.9706, support=99
{7190, 95398} -> {12305} | confidence=0.9706, support=99
{12305, 95398} -> {7190} | confidence=0.9340, support=99
{7686, 25161} -> {39749} | confidence=0.9438, support=84
{25161, 39749} -> {7686} | confidence=0.9032, support=84
{7190} -> {24746, 51657} | confidence=0.9048, support=95
{24746} -> {7190, 51657} | confidence=0.9135, support=95
{7190, 24746} -> {51657} | confidence=0.9694, support=95
{7190, 51657} -> {24746} | confidence=0.9406, support=95
{24746, 51657} -> {7190} | confidence=0.9406, support=95
{88631} -> {7190, 24746} | confidence=0.9118, support=93
{7190, 24746} -> {88631} | confidence=0.9490, support=93
{7190, 88631} -> {24746} | confidence=0.9490, support=93
{24746, 88631} -> {7190} | confidence=0.9588, support=93
{7190, 24746} -> {92490} | confidence=0.9490, support=93
{7190, 92490} -> {24746} | confidence=0.9300, support=93
{24746, 92490} -> {7190} | confidence=0.9394, support=93
{7190} -> {24746, 95398} | confidence=0.9143, support=96
{24746} -> {7190, 95398} | confidence=0.9231, support=96
{7190, 24746} -> {95398} | confidence=0.9796, support=96
{7190, 95398} -> {24746} | confidence=0.9412, support=96
{24746, 95398} -> {7190} | confidence=0.9412, support=96
{7686, 61432} -> {39749} | confidence=0.9462, support=88
{39749, 61432} -> {7686} | confidence=0.9072, support=88
{7686, 39749} -> {64408} | confidence=0.9200, support=92
{7686, 64408} -> {39749} | confidence=0.9485, support=92
{7686, 39749} -> {74994} | confidence=0.9100, support=91
{7686, 74994} -> {39749} | confidence=0.9286, support=91
{39749, 74994} -> {7686} | confidence=0.9286, support=91
{88631} -> {7190, 51657} | confidence=0.9216, support=94
{7190, 51657} -> {88631} | confidence=0.9307, support=94
{7190, 88631} -> {51657} | confidence=0.9592, support=94
{51657, 88631} -> {7190} | confidence=0.9592, support=94
{7190} -> {51657, 92490} | confidence=0.9238, support=97
{51657} -> {7190, 92490} | confidence=0.9065, support=97
{92490} -> {7190, 51657} | confidence=0.9151, support=97
{7190, 51657} -> {92490} | confidence=0.9604, support=97
{7190, 92490} -> {51657} | confidence=0.9700, support=97
{51657, 92490} -> {7190} | confidence=0.9417, support=97
{7190} -> {51657, 95398} | confidence=0.9429, support=99
{51657} -> {7190, 95398} | confidence=0.9252, support=99
{95398} -> {7190, 51657} | confidence=0.9083, support=99
{7190, 51657} -> {95398} | confidence=0.9802, support=99
{7190, 95398} -> {51657} | confidence=0.9706, support=99
{51657, 95398} -> {7190} | confidence=0.9429, support=99
{7686, 61432} -> {64408} | confidence=0.9140, support=85
{61432, 64408} -> {7686} | confidence=0.9043, support=85
{7686, 61432} -> {74994} | confidence=0.9032, support=84
{61432, 74994} -> {7686} | confidence=0.9438, support=84
{7686, 64408} -> {74994} | confidence=0.9175, support=89
{7686, 74994} -> {64408} | confidence=0.9082, support=89
{64408, 74994} -> {7686} | confidence=0.9271, support=89
{88631} -> {7190, 92490} | confidence=0.9118, support=93
{7190, 88631} -> {92490} | confidence=0.9490, support=93
{7190, 92490} -> {88631} | confidence=0.9300, support=93
{88631, 92490} -> {7190} | confidence=0.9588, support=93
{7190} -> {88631, 95398} | confidence=0.9048, support=95
{88631} -> {7190, 95398} | confidence=0.9314, support=95
{7190, 88631} -> {95398} | confidence=0.9694, support=95
{7190, 95398} -> {88631} | confidence=0.9314, support=95
{88631, 95398} -> {7190} | confidence=0.9596, support=95
